"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @JAGANTRS: BJP keeps mum on Junagadh's integration
#BJP political drama at Parade grounds exposed by Telangana netizens 

#HyderabadInte…",FALSE,0,NA,2022-09-19 17:01:01,FALSE,NA,"1571907222975975426",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_kabeeruddin",89,TRUE,FALSE,NA,NA
"RT @ysathishreddy: #GoMatha runs away from #BJP, 
Seems like a clear indication of something happening very soon! https://t.co/8YjLIYluNz",FALSE,0,NA,2022-09-19 17:00:55,FALSE,NA,"1571907197600428032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yddeRRRladnoK",88,TRUE,FALSE,NA,NA
"RT @JAGANTRS: BJP keeps mum on Junagadh's integration
#BJP political drama at Parade grounds exposed by Telangana netizens 

#HyderabadInte…",FALSE,0,NA,2022-09-19 17:00:42,FALSE,NA,"1571907144219496449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ManduvaKarthik",89,TRUE,FALSE,NA,NA
"RT @M_A_Thakur: When people of #Kashmir warned the world about radical #Hindutva fascism, it included the warning that they're erasing our…",FALSE,0,NA,2022-09-19 17:00:35,FALSE,NA,"1571907116050558977",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KianiJee",38,TRUE,FALSE,NA,NA
"RT @indiacivilwatch: #Leicester Emergency Protest @SAsiaSolidarity 

Full Statement: https://t.co/Izj8AYZh6D

#ResistHindutvaFascism #BJP #…",FALSE,0,NA,2022-09-19 17:00:28,FALSE,NA,"1571907085327298560",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SecularStar",24,TRUE,FALSE,NA,NA
"RT @ysathishreddy: #GoMatha runs away from #BJP, 
Seems like a clear indication of something happening very soon! https://t.co/8YjLIYluNz",FALSE,0,NA,2022-09-19 17:00:23,FALSE,NA,"1571907065089773568",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","samarth_trading",88,TRUE,FALSE,NA,NA
"RT @indiacivilwatch: #Leicester Emergency Protest @SAsiaSolidarity 

Full Statement: https://t.co/Izj8AYZh6D

#ResistHindutvaFascism #BJP #…",FALSE,0,NA,2022-09-19 17:00:05,FALSE,NA,"1571906987142836224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ManiaManium",24,TRUE,FALSE,NA,NA
"RT @JAGANTRS: BJP keeps mum on Junagadh's integration
#BJP political drama at Parade grounds exposed by Telangana netizens 

#HyderabadInte…",FALSE,0,NA,2022-09-19 16:59:54,FALSE,NA,"1571906941995323393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yasins999",89,TRUE,FALSE,NA,NA
"RT @paribrajakmk: @Padamsi92944036 @nrendrabhaimodi @ChouhanShivraj @OfficeOfKNath #RestoreOldPension Never expect from rulling Government…",FALSE,0,NA,2022-09-19 16:59:30,FALSE,NA,"1571906842904895489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paribrajakmk",4,TRUE,FALSE,NA,NA
"@gauravcsawant you take up case of alleged #Hindus Attacked with great personal enthusiasm,

Y Daily Indian #Muslim… https://t.co/og0fv9UChK",FALSE,0,"farhanIndian_",2022-09-19 16:59:25,TRUE,"1571903046220943361","1571906823418179584","965090066212073472","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","farhanIndian_",0,FALSE,FALSE,NA,NA
